id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_usaha,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,86,UNIT,2013
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,63,UNIT,2013
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,193,UNIT,2013
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,467,UNIT,2013
5,32,JAWA BARAT,3205,KABUPATEN GARUT,85,UNIT,2013
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,28,UNIT,2013
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,109,UNIT,2013
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,60,UNIT,2013
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,21,UNIT,2013
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,65,UNIT,2013
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,105,UNIT,2013
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,77,UNIT,2013
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,151,UNIT,2013
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,66,UNIT,2013
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,90,UNIT,2013
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,28,UNIT,2013
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,128,UNIT,2013
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,UNIT,2013
19,32,JAWA BARAT,3271,KOTA BOGOR,130,UNIT,2013
20,32,JAWA BARAT,3272,KOTA SUKABUMI,72,UNIT,2013
21,32,JAWA BARAT,3273,KOTA BANDUNG,291,UNIT,2013
22,32,JAWA BARAT,3274,KOTA CIREBON,52,UNIT,2013
23,32,JAWA BARAT,3275,KOTA BEKASI,143,UNIT,2013
24,32,JAWA BARAT,3276,KOTA DEPOK,107,UNIT,2013
25,32,JAWA BARAT,3277,KOTA CIMAHI,31,UNIT,2013
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,30,UNIT,2013
27,32,JAWA BARAT,3279,KOTA BANJAR,36,UNIT,2013
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,121,UNIT,2014
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,72,UNIT,2014
